Job Title,Location,Currency,Min,Max,Compensation Range
System Administrator,STL,USD,61000,83000,"$61,000 - $83,000"
System Administrator,SHA,CNY,274000,371000,"¥274,000 - ¥371,000"
System Administrator,SYD,AUD,97000,131000,"$97,000 - $131,000"
System Administrator,SIN,SGD,104000,141000,"$104,000 - $141,000"
System Administrator,SEA,USD,93000,127000,"$93,000 - $127,000"
Network Engineer,LAX,USD,106000,143000,"$106,000 - $143,000"
Network Engineer,DUB,EUR,76000,103000,"€76,000 - €103,000"
Network Engineer,STL,USD,72000,97000,"$72,000 - $97,000"
Network Engineer,SHA,CNY,323000,436000,"¥323,000 - ¥436,000"
Network Engineer,SYD,AUD,114000,155000,"$114,000 - $155,000"
Network Engineer,SIN,SGD,123000,166000,"$123,000 - $166,000"
Network Engineer,SEA,USD,110000,149000,"$110,000 - $149,000"
Security Analyst,LAX,USD,122000,165000,"$122,000 - $165,000"
Security Analyst,DUB,EUR,87000,119000,"€87,000 - €119,000"
Security Analyst,STL,USD,83000,112000,"$83,000 - $112,000"
Security Analyst,SHA,CNY,371000,502000,"¥371,000 - ¥502,000"
Security Analyst,SYD,AUD,131000,178000,"$131,000 - $178,000"
Security Analyst,SIN,SGD,141000,191000,"$141,000 - $191,000"
Security Analyst,SEA,USD,127000,171000,"$127,000 - $171,000"
Cloud Architect,LAX,USD,170000,229000,"$170,000 - $229,000"
Cloud Architect,DUB,EUR,122000,165000,"€122,000 - €165,000"
Cloud Architect,STL,USD,115000,156000,"$115,000 - $156,000"
Cloud Architect,SHA,CNY,516000,699000,"¥516,000 - ¥699,000"
Cloud Architect,SYD,AUD,183000,248000,"$183,000 - $248,000"
Cloud Architect,SIN,SGD,197000,266000,"$197,000 - $266,000"
Cloud Architect,SEA,USD,176000,239000,"$176,000 - $239,000"
Frontend Developer,LAX,USD,116000,158000,"$116,000 - $158,000"
Frontend Developer,DUB,EUR,84000,113000,"€84,000 - €113,000"
Frontend Developer,STL,USD,79000,107000,"$79,000 - $107,000"
Frontend Developer,SHA,CNY,355000,480000,"¥355,000 - ¥480,000"
Frontend Developer,SYD,AUD,126000,170000,"$126,000 - $170,000"
Frontend Developer,SIN,SGD,135000,183000,"$135,000 - $183,000"
Frontend Developer,SEA,USD,121000,164000,"$121,000 - $164,000"
Backend Developer,LAX,USD,122000,165000,"$122,000 - $165,000"
Backend Developer,DUB,EUR,87000,119000,"€87,000 - €119,000"
Backend Developer,STL,USD,83000,112000,"$83,000 - $112,000"
Backend Developer,SHA,CNY,371000,502000,"¥371,000 - ¥502,000"
Backend Developer,SYD,AUD,131000,178000,"$131,000 - $178,000"
Backend Developer,SIN,SGD,141000,191000,"$141,000 - $191,000"
Backend Developer,SEA,USD,127000,171000,"$127,000 - $171,000"
Mobile Developer,LAX,USD,127000,172000,"$127,000 - $172,000"
Mobile Developer,DUB,EUR,91000,124000,"€91,000 - €124,000"
Mobile Developer,STL,USD,86000,117000,"$86,000 - $117,000"
Mobile Developer,SHA,CNY,387000,524000,"¥387,000 - ¥524,000"
Mobile Developer,SYD,AUD,137000,186000,"$137,000 - $186,000"
Mobile Developer,SIN,SGD,147000,200000,"$147,000 - $200,000"
Mobile Developer,SEA,USD,132000,179000,"$132,000 - $179,000"
Tech Lead,LAX,USD,191000,258000,"$191,000 - $258,000"
Tech Lead,DUB,EUR,137000,186000,"€137,000 - €186,000"
Tech Lead,STL,USD,130000,175000,"$130,000 - $175,000"
Tech Lead,SHA,CNY,581000,786000,"¥581,000 - ¥786,000"
Tech Lead,SYD,AUD,206000,279000,"$206,000 - $279,000"
Tech Lead,SIN,SGD,221000,300000,"$221,000 - $300,000"
Tech Lead,SEA,USD,198000,269000,"$198,000 - $269,000"
Engineering Manager,LAX,USD,207000,280000,"$207,000 - $280,000"
Engineering Manager,DUB,EUR,149000,201000,"€149,000 - €201,000"
Engineering Manager,STL,USD,140000,190000,"$140,000 - $190,000"
Engineering Manager,SHA,CNY,629000,852000,"¥629,000 - ¥852,000"
Engineering Manager,SYD,AUD,223000,302000,"$223,000 - $302,000"
Engineering Manager,SIN,SGD,240000,325000,"$240,000 - $325,000"
Engineering Manager,SEA,USD,215000,291000,"$215,000 - $291,000"
Director of Engineering,LAX,USD,244000,330000,"$244,000 - $330,000"
Director of Engineering,DUB,EUR,175000,238000,"€175,000 - €238,000"
Director of Engineering,STL,USD,166000,224000,"$166,000 - $224,000"
Director of Engineering,SHA,CNY,742000,1005000,"¥742,000 - ¥1,005,000"
Director of Engineering,SYD,AUD,263000,357000,"$263,000 - $357,000"
Director of Engineering,SIN,SGD,283000,383000,"$283,000 - $383,000"
Director of Engineering,SEA,USD,254000,343000,"$254,000 - $343,000"
Sales Representative,LAX,USD,69000,93000,"$69,000 - $93,000"
Sales Representative,DUB,EUR,49000,67000,"€49,000 - €67,000"
Sales Representative,STL,USD,46000,63000,"$46,000 - $63,000"
Sales Representative,SHA,CNY,209000,284000,"¥209,000 - ¥284,000"
Sales Representative,SYD,AUD,74000,100000,"$74,000 - $100,000"
Sales Representative,SIN,SGD,80000,108000,"$80,000 - $108,000"
Sales Representative,SEA,USD,71000,97000,"$71,000 - $97,000"
Account Executive,LAX,USD,100000,136000,"$100,000 - $136,000"
Account Executive,DUB,EUR,72000,98000,"€72,000 - €98,000"
Account Executive,STL,USD,68000,92000,"$68,000 - $92,000"
Account Executive,SHA,CNY,306000,415000,"¥306,000 - ¥415,000"
Account Executive,SYD,AUD,109000,147000,"$109,000 - $147,000"
Account Executive,SIN,SGD,117000,158000,"$117,000 - $158,000"
Account Executive,SEA,USD,104000,142000,"$104,000 - $142,000"
Sales Manager,LAX,USD,148000,201000,"$148,000 - $201,000"
Sales Manager,DUB,EUR,107000,144000,"€107,000 - €144,000"
Sales Manager,STL,USD,101000,136000,"$101,000 - $136,000"
Sales Manager,SHA,CNY,452000,611000,"¥452,000 - ¥611,000"
Sales Manager,SYD,AUD,160000,217000,"$160,000 - $217,000"
Sales Manager,SIN,SGD,172000,233000,"$172,000 - $233,000"
Sales Manager,SEA,USD,154000,209000,"$154,000 - $209,000"
VP of Sales,LAX,USD,223000,301000,"$223,000 - $301,000"
VP of Sales,DUB,EUR,160000,217000,"€160,000 - €217,000"
VP of Sales,STL,USD,151000,205000,"$151,000 - $205,000"
VP of Sales,SHA,CNY,678000,917000,"¥678,000 - ¥917,000"
VP of Sales,SYD,AUD,240000,326000,"$240,000 - $326,000"
VP of Sales,SIN,SGD,258000,350000,"$258,000 - $350,000"
VP of Sales,SEA,USD,232000,313000,"$232,000 - $313,000"
Customer Success Manager,LAX,USD,85000,114000,"$85,000 - $114,000"
Customer Success Manager,DUB,EUR,61000,82000,"€61,000 - €82,000"
Customer Success Manager,STL,USD,57000,78000,"$57,000 - $78,000"
Customer Success Manager,SHA,CNY,258000,349000,"¥258,000 - ¥349,000"
Customer Success Manager,SYD,AUD,91000,124000,"$91,000 - $124,000"
Customer Success Manager,SIN,SGD,98000,133000,"$98,000 - $133,000"
Customer Success Manager,SEA,USD,88000,119000,"$88,000 - $119,000"
Customer Support Lead,LAX,USD,69000,93000,"$69,000 - $93,000"
Customer Support Lead,DUB,EUR,49000,67000,"€49,000 - €67,000"
Customer Support Lead,STL,USD,46000,63000,"$46,000 - $63,000"
Customer Support Lead,SHA,CNY,209000,284000,"¥209,000 - ¥284,000"
Customer Support Lead,SYD,AUD,74000,100000,"$74,000 - $100,000"
Customer Support Lead,SIN,SGD,80000,108000,"$80,000 - $108,000"
Customer Support Lead,SEA,USD,71000,97000,"$71,000 - $97,000"
Marketing Manager,LAX,USD,106000,143000,"$106,000 - $143,000"
Marketing Manager,DUB,EUR,76000,103000,"€76,000 - €103,000"
Marketing Manager,STL,USD,72000,97000,"$72,000 - $97,000"
Marketing Manager,SHA,CNY,323000,436000,"¥323,000 - ¥436,000"
Marketing Manager,SYD,AUD,114000,155000,"$114,000 - $155,000"
Marketing Manager,SIN,SGD,123000,166000,"$123,000 - $166,000"
Marketing Manager,SEA,USD,110000,149000,"$110,000 - $149,000"
Brand Manager,LAX,USD,116000,158000,"$116,000 - $158,000"
Brand Manager,DUB,EUR,84000,113000,"€84,000 - €113,000"
Brand Manager,STL,USD,79000,107000,"$79,000 - $107,000"
Brand Manager,SHA,CNY,355000,480000,"¥355,000 - ¥480,000"
Brand Manager,SYD,AUD,126000,170000,"$126,000 - $170,000"
Brand Manager,SIN,SGD,135000,183000,"$135,000 - $183,000"
Brand Manager,SEA,USD,121000,164000,"$121,000 - $164,000"
Content Strategist,LAX,USD,90000,122000,"$90,000 - $122,000"
Content Strategist,DUB,EUR,65000,87000,"€65,000 - €87,000"
Content Strategist,STL,USD,61000,83000,"$61,000 - $83,000"
Content Strategist,SHA,CNY,274000,371000,"¥274,000 - ¥371,000"
Content Strategist,SYD,AUD,97000,131000,"$97,000 - $131,000"
Content Strategist,SIN,SGD,104000,141000,"$104,000 - $141,000"
Content Strategist,SEA,USD,93000,127000,"$93,000 - $127,000"
SEO Specialist,LAX,USD,79000,107000,"$79,000 - $107,000"
SEO Specialist,DUB,EUR,57000,77000,"€57,000 - €77,000"
SEO Specialist,STL,USD,54000,73000,"$54,000 - $73,000"
SEO Specialist,SHA,CNY,242000,327000,"¥242,000 - ¥327,000"
SEO Specialist,SYD,AUD,86000,116000,"$86,000 - $116,000"
SEO Specialist,SIN,SGD,92000,125000,"$92,000 - $125,000"
SEO Specialist,SEA,USD,82000,112000,"$82,000 - $112,000"
Social Media Manager,LAX,USD,74000,100000,"$74,000 - $100,000"
Social Media Manager,DUB,EUR,53000,72000,"€53,000 - €72,000"
Social Media Manager,STL,USD,50000,68000,"$50,000 - $68,000"
Social Media Manager,SHA,CNY,226000,305000,"¥226,000 - ¥305,000"
Social Media Manager,SYD,AUD,80000,108000,"$80,000 - $108,000"
Social Media Manager,SIN,SGD,86000,116000,"$86,000 - $116,000"
Social Media Manager,SEA,USD,77000,104000,"$77,000 - $104,000"
HR Generalist,LAX,USD,79000,107000,"$79,000 - $107,000"
HR Generalist,DUB,EUR,57000,77000,"€57,000 - €77,000"
HR Generalist,STL,USD,54000,73000,"$54,000 - $73,000"
HR Generalist,SHA,CNY,242000,327000,"¥242,000 - ¥327,000"
HR Generalist,SYD,AUD,86000,116000,"$86,000 - $116,000"
HR Generalist,SIN,SGD,92000,125000,"$92,000 - $125,000"
HR Generalist,SEA,USD,82000,112000,"$82,000 - $112,000"
Recruiter,LAX,USD,85000,114000,"$85,000 - $114,000"
Recruiter,DUB,EUR,61000,82000,"€61,000 - €82,000"
Recruiter,STL,USD,57000,78000,"$57,000 - $78,000"
Recruiter,SHA,CNY,258000,349000,"¥258,000 - ¥349,000"
Recruiter,SYD,AUD,91000,124000,"$91,000 - $124,000"
Recruiter,SIN,SGD,98000,133000,"$98,000 - $133,000"
Recruiter,SEA,USD,88000,119000,"$88,000 - $119,000"
HR Business Partner,LAX,USD,116000,158000,"$116,000 - $158,000"
HR Business Partner,DUB,EUR,84000,113000,"€84,000 - €113,000"
HR Business Partner,STL,USD,79000,107000,"$79,000 - $107,000"
HR Business Partner,SHA,CNY,355000,480000,"¥355,000 - ¥480,000"
HR Business Partner,SYD,AUD,126000,170000,"$126,000 - $170,000"
HR Business Partner,SIN,SGD,135000,183000,"$135,000 - $183,000"
HR Business Partner,SEA,USD,121000,164000,"$121,000 - $164,000"
Business Analyst,LAX,USD,100000,136000,"$100,000 - $136,000"
Business Analyst,DUB,EUR,72000,98000,"€72,000 - €98,000"
Business Analyst,STL,USD,68000,92000,"$68,000 - $92,000"
Business Analyst,SHA,CNY,306000,415000,"¥306,000 - ¥415,000"
Business Analyst,SYD,AUD,109000,147000,"$109,000 - $147,000"
Business Analyst,SIN,SGD,117000,158000,"$117,000 - $158,000"
Business Analyst,SEA,USD,104000,142000,"$104,000 - $142,000"
Financial Analyst,LAX,USD,95000,129000,"$95,000 - $129,000"
Financial Analyst,DUB,EUR,68000,93000,"€68,000 - €93,000"
Financial Analyst,STL,USD,65000,87000,"$65,000 - $87,000"
Financial Analyst,SHA,CNY,290000,393000,"¥290,000 - ¥393,000"
Financial Analyst,SYD,AUD,103000,139000,"$103,000 - $139,000"
Financial Analyst,SIN,SGD,110000,150000,"$110,000 - $150,000"
Financial Analyst,SEA,USD,99000,134000,"$99,000 - $134,000"
Controller,LAX,USD,138000,186000,"$138,000 - $186,000"
Controller,DUB,EUR,99000,134000,"€99,000 - €134,000"
Controller,STL,USD,93000,127000,"$93,000 - $127,000"
Controller,SHA,CNY,419000,568000,"¥419,000 - ¥568,000"
Controller,SYD,AUD,149000,201000,"$149,000 - $201,000"
Controller,SIN,SGD,160000,216000,"$160,000 - $216,000"
Controller,SEA,USD,143000,194000,"$143,000 - $194,000"
Accountant,LAX,USD,79000,107000,"$79,000 - $107,000"
Accountant,DUB,EUR,57000,77000,"€57,000 - €77,000"
Accountant,STL,USD,54000,73000,"$54,000 - $73,000"
Accountant,SHA,CNY,242000,327000,"¥242,000 - ¥327,000"
Accountant,SYD,AUD,86000,116000,"$86,000 - $116,000"
Accountant,SIN,SGD,92000,125000,"$92,000 - $125,000"
Accountant,SEA,USD,82000,112000,"$82,000 - $112,000"
Office Manager,LAX,USD,63000,86000,"$63,000 - $86,000"
Office Manager,DUB,EUR,45000,62000,"€45,000 - €62,000"
Office Manager,STL,USD,43000,58000,"$43,000 - $58,000"
Office Manager,SHA,CNY,193000,262000,"¥193,000 - ¥262,000"
Office Manager,SYD,AUD,68000,93000,"$68,000 - $93,000"
Office Manager,SIN,SGD,73000,100000,"$73,000 - $100,000"
Office Manager,SEA,USD,66000,89000,"$66,000 - $89,000"
Executive Assistant,LAX,USD,85000,114000,"$85,000 - $114,000"
Executive Assistant,DUB,EUR,61000,82000,"€61,000 - €82,000"
Executive Assistant,STL,USD,57000,78000,"$57,000 - $78,000"
Executive Assistant,SHA,CNY,258000,349000,"¥258,000 - ¥349,000"
Executive Assistant,SYD,AUD,91000,124000,"$91,000 - $124,000"
Executive Assistant,SIN,SGD,98000,133000,"$98,000 - $133,000"
Executive Assistant,SEA,USD,88000,119000,"$88,000 - $119,000"
Operations Manager,LAX,USD,111000,150000,"$111,000 - $150,000"
Operations Manager,DUB,EUR,80000,108000,"€80,000 - €108,000"
Operations Manager,STL,USD,75000,102000,"$75,000 - $102,000"
Operations Manager,SHA,CNY,339000,458000,"¥339,000 - ¥458,000"
Operations Manager,SYD,AUD,120000,163000,"$120,000 - $163,000"
Operations Manager,SIN,SGD,129000,175000,"$129,000 - $175,000"
Operations Manager,SEA,USD,116000,156000,"$116,000 - $156,000"
Operations Coordinator,LAX,USD,58000,79000,"$58,000 - $79,000"
Operations Coordinator,DUB,EUR,42000,56000,"€42,000 - €56,000"
Operations Coordinator,STL,USD,39000,53000,"$39,000 - $53,000"
Operations Coordinator,SHA,CNY,177000,240000,"¥177,000 - ¥240,000"
Operations Coordinator,SYD,AUD,63000,85000,"$63,000 - $85,000"
Operations Coordinator,SIN,SGD,67000,91000,"$67,000 - $91,000"
Operations Coordinator,SEA,USD,60000,82000,"$60,000 - $82,000"
Procurement Specialist,LAX,USD,90000,122000,"$90,000 - $122,000"
Procurement Specialist,DUB,EUR,65000,87000,"€65,000 - €87,000"
Procurement Specialist,STL,USD,61000,83000,"$61,000 - $83,000"
Procurement Specialist,SHA,CNY,274000,371000,"¥274,000 - ¥371,000"
Procurement Specialist,SYD,AUD,97000,131000,"$97,000 - $131,000"
Procurement Specialist,SIN,SGD,104000,141000,"$104,000 - $141,000"
Procurement Specialist,SEA,USD,93000,127000,"$93,000 - $127,000"
Legal Counsel,LAX,USD,180000,244000,"$180,000 - $244,000"
Legal Counsel,DUB,EUR,130000,175000,"€130,000 - €175,000"
Legal Counsel,STL,USD,122000,166000,"$122,000 - $166,000"
Legal Counsel,SHA,CNY,549000,742000,"¥549,000 - ¥742,000"
Legal Counsel,SYD,AUD,195000,263000,"$195,000 - $263,000"
Legal Counsel,SIN,SGD,209000,283000,"$209,000 - $283,000"
Legal Counsel,SEA,USD,187000,254000,"$187,000 - $254,000"
Chief of Staff,LAX,USD,191000,258000,"$191,000 - $258,000"
Chief of Staff,DUB,EUR,137000,186000,"€137,000 - €186,000"
Chief of Staff,STL,USD,130000,175000,"$130,000 - $175,000"
Chief of Staff,SHA,CNY,581000,786000,"¥581,000 - ¥786,000"
Chief of Staff,SYD,AUD,206000,279000,"$206,000 - $279,000"
Chief of Staff,SIN,SGD,221000,300000,"$221,000 - $300,000"
Chief of Staff,SEA,USD,198000,269000,"$198,000 - $269,000"
Project Manager,LAX,USD,111000,150000,"$111,000 - $150,000"
Project Manager,DUB,EUR,80000,108000,"€80,000 - €108,000"
Project Manager,STL,USD,75000,102000,"$75,000 - $102,000"
Project Manager,SHA,CNY,339000,458000,"¥339,000 - ¥458,000"
Project Manager,SYD,AUD,120000,163000,"$120,000 - $163,000"
Project Manager,SIN,SGD,129000,175000,"$129,000 - $175,000"
Project Manager,SEA,USD,116000,156000,"$116,000 - $156,000"
